Nama Wilayah,Persen Miskin,Jumlah Miskin,IKM,Tahun
JAWA BARAT,7.88,3920.23,1.13,2020
Bogor,7.69,465.67,0.83,2020
Sukabumi,7.09,175.1,0.8,2020
Cianjur,10.36,234.47,1.38,2020
Bandung,6.91,263.6,0.92,2020
Garut,9.98,262.78,0.97,2020
Tasikmalaya,10.34,181.52,0.83,2020
Ciamis,7.62,91.39,0.92,2020
Kuningan,12.82,139.2,2.41,2020
Cirebon,11.24,247.94,1.3,2020
Majalengka,11.43,138.21,1.41,2020
Sumedang,10.26,118.38,1.72,2020
Indramayu,12.7,220.31,2.18,2020
Subang,9.31,149.81,1.29,2020
Purwakarta,8.27,80.17,1.04,2020
Karawang,8.26,195.41,1.28,2020
Bekasi,4.82,186.3,0.72,2020
Bandung Barat,10.49,179.46,1.4,2020
Pangandaran,8.99,36.05,1.32,2020
Kota Bogor,6.68,75.04,1.08,2020
Kota Sukabumi,7.7,25.42,1.17,2020
Kota Bandung,3.99,100.02,0.61,2020
Kota Cirebon,9.52,30.61,1.68,2020
Kota Bekasi,4.38,134.01,0.6,2020
Kota Depok,2.45,60.43,0.29,2020
Kota Cimahi,5.11,31.64,0.75,2020
Kota Tasikmalaya,12.97,86.13,1.75,2020
Kota Banjar,6.09,11.16,0.7,2020
JAWA BARAT,8.4,4195.34,1.47,2021
Bogor,8.13,491.24,1.36,2021
Sukabumi,7.7,194.35,1.04,2021
Cianjur,11.18,260.02,1.83,2021
Bandung,7.15,269.18,1.23,2021
Garut,10.65,281.36,1.4,2021
Tasikmalaya,11.15,200.59,1.57,2021
Ciamis,7.97,96.6,0.88,2021
Kuningan,13.1,143.35,2.02,2021
Cirebon,12.3,271.02,1.94,2021
Majalengka,12.33,151.14,2.44,2021
Sumedang,10.71,126.28,1.72,2021
Indramayu,13.04,228.59,2.46,2021
Subang,10.03,158.97,1.93,2021
Purwakarta,8.83,84.27,1.31,2021
Karawang,8.95,210.78,1.27,2021
Bekasi,5.21,202.73,0.91,2021
Bandung Barat,11.3,190.77,1.62,2021
Pangandaran,9.65,39.07,1.25,2021
Kota Bogor,7.24,80.09,1.1,2021
Kota Sukabumi,8.25,27.19,1.39,2021
Kota Bandung,4.37,112.5,0.78,2021
Kota Cirebon,10.03,31.98,2.22,2021
Kota Bekasi,4.74,144.12,0.66,2021
Kota Depok,2.58,63.86,0.34,2021
Kota Cimahi,5.35,32.48,0.93,2021
Kota Tasikmalaya,13.13,89.46,2.42,2021
Kota Banjar,7.11,13.37,1.19,2021
