nama_kabupaten_kota,persentase_tingkat_pengangguran_terbuka,Tahun
Kabupaten Bogor,12.22,2021
Kabupaten Sukabumi,9.51,2021
Kabupaten Cianjur,9.32,2021
Kabupaten Bandung,8.32,2021
Kabupaten Garut,8.68,2021
Kabupaten Tasikmalaya,6.16,2021
Kabupaten Ciamis,5.06,2021
Kabupaten Kuningan,11.68,2021
Kabupaten Cirebon,10.38,2021
Kabupaten Majalengka,5.71,2021
Kabupaten Sumedang,9.18,2021
Kabupaten Indramayu,8.3,2021
Kabupaten Subang,9.77,2021
Kabupaten Purwakarta,10.7,2021
Kabupaten Karawang,11.83,2021
Kabupaten Bekasi,10.09,2021
Kabupaten Bandung Barat,11.65,2021
Kabupaten Pangandaran,3.25,2021
Kota Bogor,11.79,2021
Kota Sukabumi,10.78,2021
Kota Bandung,11.46,2021
Kota Cirebon,10.53,2021
Kota Bekasi,10.88,2021
Kota Depok,9.76,2021
Kota Cimahi,13.07,2021
Kota Tasikmalaya,7.66,2021
Kota Banjar,6.09,2021
JAWA BARAT,9.82,2021
