nama_kabupaten_kota,luas,Tahun
Bogor," 2,710.62 ",2020
Sukabumi," 4,145.70 ",2020
Cianjur," 3,840.16 ",2020
Bandung," 1,767.96 ",2020
Garut," 3,074.07 ",2020
Tasikmalaya," 2,551.19 ",2020
Ciamis," 1,414.71 ",2020
Kuningan," 1,110.56 ",2020
Cirebon, 984.52 ,2020
Majalengka," 1,204.24 ",2020
Sumedang," 1,518.33 ",2020
Indramayu," 2,040.11 ",2020
Subang," 1,893.95 ",2020
Purwakarta, 825.74 ,2020
Karawang," 1,652.20 ",2020
Bekasi," 1,224.88 ",2020
Bandung Barat," 1,305.77 ",2020
Pangandaran," 1,010.00 ",2020
Kota Bogor, 118.50 ,2020
Kota Sukabumi, 48.25 ,2020
Kota Bandung, 167.67 ,2020
Kota Cirebon, 37.36 ,2020
Kota Bekasi, 206.61 ,2020
Kota Depok, 200.29 ,2020
Kota Cimahi, 39.27 ,2020
Kota Tasikmalaya, 171.61 ,2020
Kota Banjar, 113.49 ,2020
JAWA BARAT," 35,377.76 ",2020
Bogor," 2,710.62 ",2021
Sukabumi," 4,145.70 ",2021
Cianjur," 3,840.16 ",2021
Bandung," 1,767.96 ",2021
Garut," 3,074.07 ",2021
Tasikmalaya," 2,551.19 ",2021
Ciamis," 1,414.71 ",2021
Kuningan," 1,110.56 ",2021
Cirebon, 984.52 ,2021
Majalengka," 1,204.24 ",2021
Sumedang," 1,518.33 ",2021
Indramayu," 2,040.11 ",2021
Subang," 1,893.95 ",2021
Purwakarta, 825.74 ,2021
Karawang," 1,652.20 ",2021
Bekasi," 1,224.88 ",2021
Bandung Barat," 1,305.77 ",2021
Pangandaran," 1,010.00 ",2021
Kota Bogor, 118.50 ,2021
Kota Sukabumi, 48.25 ,2021
Kota Bandung, 167.67 ,2021
Kota Cirebon, 37.36 ,2021
Kota Bekasi, 206.61 ,2021
Kota Depok, 200.29 ,2021
Kota Cimahi, 39.27 ,2021
Kota Tasikmalaya, 171.61 ,2021
Kota Banjar, 113.49 ,2021
JAWA BARAT," 35,377.76 ",2021
